word,part of speech,definition,explanation,etymology (comma-separated)
Fegagasnideon,Adjective,Extensivo,,
Fegagasnirian,Verb,Extender,,
Fegagasnofeon,Noun,Extensor,,
Feiseon,Noun,"Cara, rostro",,
Feisfarbeon,Noun,Tez,,
Feldembreon,Noun,Campesino,,
Feldeon,Noun,Campo,,
Feldideon,Adjective,"Campestre, rural",,
Feldirian,Verb,Acampar,,
Fen,Preposition,"Fuera de, afuera de, por fuera de",,Fen
Fenachmemeon,Noun,Aliento,,"Achm, fen"
Fenachmeon,Noun,"Espiración, exhalación",,"Achm, fen"
Fenachmeon,Noun,"Expiración, espiración",,"Achm, fen"
Fenachmirian,Verb,"Espirar, exhalar",,"Achm, fen"
Fenachmirian,Verb,"Expirar, espirar",,"Achm, fen"
Fenaeririan,Verb,"Desinflar, deshinchar",,Fen
Fenasnirian,Verb,Exteriorizar,,Fen
Fenbireon,Noun,Obviedad,,Fen
Fenbirideon,Adjective,"Evidente, obvio",,Fen
Fenchireon,Noun,Sangrado,,Fen
Fenchiririan,Verb,Sangrar,,Fen
Fendubarseon,Noun,Aire libre,,Fen
Fendubarsin,Adverb,Al aire libre,,Fen
Fendubitideon,Adjective,"Sin duda, indudable",,Fen
Feneon,Noun,Exterior,,Fen
Fengaeneon,Noun,Ventilación,,Fen
Fengaenirian,Verb,Ventilar,,Fen
Fengaenofeon,Noun,Ventilador,,Fen
Fengageon,Noun,Vendaval,,Fen
Fengalkeon,Noun,Brisa,,Fen
Fengasirian,Verb,"Desinflar, deshinchar",,Fen
Fengeon,Noun,Viento,,Fen
Fengideon,Adjective,Ventoso,,Fen
Fengirian,Verb,Soplar,,Fen
Fengonatseon,Noun,Salida,,"Fen,gon"
Fengonirian,Verb,"Salir, emanar",,"Fen,gon"
Fenideon,Adjective,"Externo, exterior",,Fen
Fenin,Adverb,"Fuera, externamente, afuera",,Fen
Fenmakeon,Noun,Descarte,,Fen
Fenmakirian,Verb,Descartar,,Fen
Fenmanduteikeon,Noun,Descarte,,Fen
Fenmanduteikirian,Verb,Descartar,,Fen
Fenputaduhosonofeon,Noun,Almacenamiento Extraíble,,Fen
Fentineon,Noun,Extinción,,Fen
Fentinirian,Verb,"Apagar, extinguir",,Fen
Ferboyugurmeon,Noun,Material rodante,,"Fer,boy,gurm"
Feremuratseon,Noun,Ferretería,,
Fereon,Noun,Hierro,,
Fergurboyemaon,Noun,Ferroviario,,
Fergurboyideon,Adjective,Ferroviario,,
Fergurboyuhaltatseon,Noun,Estación de ferrocarril,,
Fergurmageon,Noun,Ferrocarril,,"Fer,gurm"
Ferideon,Adjective,"De hierro, férreo",,
Feseon,Noun,"Arreglo, reparación",,
Fesirian,Verb,"Arreglar, reparar",,
Festeon,Noun,Fiesta,,
Festingeon,Noun,"Celebración, festejación",,
Festirian,Verb,"Celebrar, festejar",,
Festiulideon,Adjective,Fiestero,,
Feteon,Noun,"Grasa, sebo, manteca",,
Feteon,Noun,Grease,,Fet
Fetideon,Adjective,Graso,,
Fidansasirian,Verb,Comprometerse,,
Fidansateon,Noun,Noviazgo (compromiso),,
Fidanson,Noun,Prometido (novio),,
Fideleon,Noun,Fidelidad,,Fidel
Fidelesir senteon,Expression,Ser literal a,"Es literalmente lo mismo
Fidelesir samemeon senteon","Fidel,sent"
Fidelideon,Adjective,Fiel,,Fidel
Figureon,Noun,Figura,,
Figurideon,Adjective,Figurado,,
Figuririan,Verb,"Representar, figurar",,
Filaenirian,Verb,Adoptar (un hijo),,
Filideon,Adjective,Filial,,
Filipiniomeon,Noun,Filipino,,
Filipiniopaon,Noun,Filipino,,
Filipinseon,Noun,Filipinas,,
"Filon, filan",Noun,"Hijo, hija",,
"Filuson, filusan",Noun,"Sobrino, sobrina",,
Finansadideon,Adjective,Financiable,,
Finansemaon,Noun,Financiero,,
Finanseon,Noun,Finanza,,
Finansideon,Adjective,Financiero,,
Finansingeon,Noun,"Financiación, financiamiento",,
Finansirian,Verb,Financiar,,
Finistralkeon,Noun,Ventanilla,,
Finistreon,Noun,Ventana,,
Fink,Preposition,"Vinculado a, enlazado a, involucrado en",,
Finpasneon,Noun,Finlandia,,
Finpasniomeon,Noun,"Finlandés, finés",,
Finpasniopaon,Noun,"Finlandés, finés",,
Firseon,Noun,Mira telescópica,,
Fisikeon,Noun,Física,,
Fisikideon,Adjective,Físico,,
Fisteon,Noun,Puño,,
Fistucheon,Noun,Puñetazo,,
Fistuchirian,Verb,Dar un puñetazo,,
Fitanideon,Adjective,"Materno, maternal",,
Fitateon,Noun,Paternidad,,
Fitideon,Adjective,"Paterno, paternal",,
"Fiton, fitan",Noun,"Padre, madre",,
Fitonideon,Adjective,"Paterno, paternal",,
Flamasadideon,Adjective,Inflamable,,
Flamasnofeon,Noun,"Encendedor, mechero",,
Flameon,Noun,"Llama, flama",,
Flamideon,Adjective,Flamígero,,
Flamingideon,Adjective,En llamas,,
Flamirian,Verb,Flamear,,
Flaskaprofeon,Noun,"Abrebotellas, destapador",,
Flaskeon,Noun,Botella,,
Flegatseon,Noun,Aeropuerto,,
Flegeon,Noun,Vuelo,,
Flegideon,Adjective,Volador,,
Flegirian,Verb,Volar,,
Flegofeon,Noun,Ala,,
Flegofideon,Adjective,Alado,,
Flekeliminofeon,Noun,Quitamanchas,,
Flekeon,Noun,"Mancha, manchón",,
Flekirian,Verb,Manchar,,
Floremaon,Noun,Florista,,"Flor,em"
Floreon,Noun,Flor,,
Florideon,Adjective,Floral,,
Floririan,Verb,Florecer,,
Fluigateon,Noun,Fluidez,,
Fluigeon,Noun,"Fluido, líquido",,
Fluigideon,Adjective,"Líquido, fluido",,
Fluigirian,Verb,Fluir,,
Fluigpolsnageon,Noun,Rocío,,
Fogagemideon,Adjective,Incendiario,,
Fogageon,Noun,Incendio,,
Fogasnirian,Verb,"Incendiar, encender, prender",,
Fogatseon,Noun,Chimenea,,
Fogeon,Noun,Fuego,,
Fogideon,Adjective,Ígneo,,
Fogloshemaon,Noun,Bombero,,
Fogloshemgurmeon,Noun,Carro de bomberos,,"Fog,losh,em,gurm"
Fogofeon,Noun,"Mechero, encendedor",,
Fogonteon,Noun,Fogón,,
Folgen,Adverb,"A raíz de, como consecuencia de",,
Folgeon,Noun,Consecuencia,,
Folgideon,Adjective,Siguiente,,
Folgingeon,Noun,Seguimiento,,
Folgirbideon,Adjective,Próximo,,
Folgirian,Verb,Seguir,,
Fonseon,Noun,Atracción,,
Fonsirian,Verb,Atraer,,
Forestideon,Adjective,Forestal,,
Forestupeon,Noun,Bosque,,
Forkageon,Noun,"Horca, trinche",,
Forkeon,Noun,Tenedor,,
Formeon,Noun,Forma,,
Formirian,Verb,Formar,,
Formofeon,Noun,Molde,,
Fortasneon,Noun,Fortalecimiento,,
Fortasnirian,Verb,Fortalecer,,
Fortemaon,Noun,Fuerzudo,,
Fortemeon,Noun,Fortaleza (parte fuerte),,
Forteon,Noun,Fuerza,,
Fortideon,Adjective,Fuerte,,
Fortin,Adverb,Fuertemente,,
Fortupreon,Noun,Refuerzo,,
Fortupringeon,Noun,Reforzamiento,,
Fortupririan,Verb,Reforzar,,
Fosemin,Adverb,Alguna vez,,
Fosemsin,Adverb,Algunas veces,,
Foseon,Noun,Vez,,
Fosideon,Adjective,Ocasional,,
Fosnemin,Adverb,Nunca,,"Fos,nem"
Fotemaon,Noun,Fotógrafo,,
Foteon,Noun,"Foto, fotografía",,
Fotideon,Adjective,Fotográfico,,
Fotirian,Verb,Fotografiar,,
Fotofeon,Noun,Cámara (fotográfica),,
Frankuhitemaon,Noun,Francotirador,,
Frankuhitofeon,Noun,Francotirador,,
Franseon,Noun,Francia,,
Fransguyaneon,Noun,Guayana Francesa,,
Fransguyaniopaon,Noun,Franco guayanés,,
Fransideon,Adjective,Francés,,
Fransiomeon,Noun,Francés (idioma),,
Fransiopaon,Noun,Francés (origen),,
Fransiopideon,Adjective,Francés (origen),,
Fremeon,Noun,Marco,,
Fremirian,Verb,Enmarcar,,
Frempainteon,Noun,Cuadro (pintura con marco),,
Freyambreon,Noun,Libertario,,
Freyambrideon,Adjective,Libertario,,
Freyasnemeon,Noun,Libertador,,
Freyasnideon,Adjective,Libertador,,
Freyasningeon,Noun,Liberación,,
Freyasnirian,Verb,Liberar,,
Freyeon,Noun,Libertad,,
Freyideon,Adjective,"Libre, vacante, desocupado",,
Freyin,Adverb,Libremente,,
Freyirian,Verb,"Liberar, desocupar, librar, soltar",,
Freyufaleon,Noun,Caída libre,,
Frok,Preposition,"Desde, de, proveniente de (origen)",,
Frokdeon?,Adverb,"¿De dónde?, ¿Desde dónde?",,"Frok,deon"
Froken?,Adverb,¿Para qué?,,"Frok,ken"
Frokeon,Noun,"Origen, foco",,
Frokideon,Adjective,Original,,
Fromeon,Noun,Queso,,
Fron,Preposition,"Para, a fin de, a razón de",,
Fron astel,Preposition,Para esto,,
Fron atsel,Preposition,"Para eso, para lo cual",,
Fronkaen,Adverb,¿Para quién?,,"Fron,kaen"
Fronkrion?,Adverb,¿Para cuándo?,,"Fron,krion"
Fronkua,Preposition,Para que,,
Frotirian,Verb,Frotar,,Frot
Fruideon,Adjective,Temprano,,
Fruin,Adverb,"Temprano, pronto",,
Fruirian,Verb,Aprontarse,,
Fruyupririan,Verb,"Apresurar, adelantar",,
Fucheon,Noun,Copia,,
Fuchirian,Verb,Copiar,,
Fulemeon,Noun,Relleno,,
Fulideon,Adjective,"Lleno, completo",,
Fulin,Adverb,"Completamente, enteramente",,
Fulirian,Verb,"Llenar, rellenar",,
Fulirideon,Adjective,Relleno,,
Fulumideon,Adjective,Repleto,,
Fulumirian,Verb,Repletar,,
Fumeon,Noun,Letra,,
Funsasnirian,Verb,Poner en funcionamiento,,
Funsemaon,Noun,Funcionario,,
Funseon,Noun,Función,,
Funsideon,Adjective,Funcional,,
Funsingeon,Noun,Funcionamiento,,
Funsirian,Verb,Funcionar,,
Furnasageon,Noun,Alto horno,,
Furnaseon,Noun,Horno,,
Furtageon,Noun,Espanto,,
Furtasneon,Noun,Intimidación,,
Furtasnideon,Adjective,"Intimidante, de miedo",,
Furterbideon,Adjective,Temible,,
Furtideon,Adjective,Atemorizante,,
Furtiulaon,Noun,Temeroso,,
Furtiulideon,Adjective,Temeroso,,
Furtumideon,Adjective,Espantoso,,
Futureon,Noun,Futuro,,
Futurideon,Adjective,Futuro,,
Futurin,Adverb,Futuramente,,
Futurogeon,Noun,Futurismo,,
Futurogideon,Adjective,Futurista,,
Gabadgeon,Noun,Beneficiencia,,
Gabagideon,Adjective,"Excelente, estupendo",,
Gabateon,Noun,Bondad,,
Gabduftrauhemeon,Noun,Incienso,,"Gab,duft,rauh,em"
Gabefektateon,Noun,Eficacia,,
Gabefektidu,Adjective,"Efectivo, eficaz",,
Gabemaon,Noun,Bonachón,,
Gabideon,Adjective,Bueno,,
Gabin,Adverb,"Bien, bueno",,
Gabraneon,Noun,Cuervo,,
Gabubarempikeon,Noun,Crédito,,
Gabuderchateon,Noun,Mantención,,
Gabuderchatingeon,Noun,Mantenimiento,,
Gabugenkirian,Verb,Estar bien,,
Gabuglukeon,Noun,Buena suerte,,
Gabuglukideon,Adjective,"Suertudo, afortunado",,
Gabuglukin,Adverb,"Por suerte, por fortuna, afortunadamente",,
Gabuglukirian,Verb,Tener buena suerte,,
Gabugustideon,Adjective,"Sabroso, rico, delicioso, gustoso",,
Gabugustumideon,Adjective,Rico,,
Gabumideon,Adjective,Fenomenal,,
Gabunribeon,Noun,"Muchedumbre, masa, multitud",,
Gabunribideon,Adjective,"Masivo, multitudinario",,
Gabunribin,Adverb,"En masa, masivamente",,
Gabunribingeon,Noun,"Acumulación, amontonamiento",,
Gabunribirian,Verb,"Acumular, amontonar",,
Gabunribupibudalteon,Noun,"Masacre, matanza",,
Gabunribupibudaltirian,Verb,Masacrar,,
Gabunribusapasnofeon,Noun,Medio masivo de comunicación,,
Gabuprasneon,Noun,Mejora,,
Gabuprasnirian,Verb,Mejorar,,
Gabuprideon,Adjective,Mejor,,
Gabuprin,Adverb,Mejor,,
Gademaon,Noun,Recolector,,
Gadeon,Noun,"Recolección, colección",,
Gadirian,Verb,"Reunir, recolectar, coleccionar",,
Gafilaon,Noun,"Nieto, nieta",,
Gafitaon,Noun,"Abuelo, abuela",,
Gagabeon,Noun,Bombón,,
Gagaseon,Noun,Crecimiento,,
Gagasirian,Verb,Crecer,,
Gageon,Noun,Grandeza,,
Gagideon,Adjective,"Grande, gran",,
Gagin,Adverb,Grandemente,,
Gagingeon,Verb,Engrandecimiento,,
Gagirian,Verb,"Agrandar, engrandencer",,
Gagumemeon,Noun,Gigante,,
Gagumideon,Adjective,"Enorme, gigante, inmenso",,
Gaguntuparteon,Noun,Mayoría,,
Gaguntupartideon,Adverb,Mayoritario,,
Gaguprideon,Adjective,Mayor,,
Gaguprin,Adverb,Mayor,,
Gak-rumeon,Noun,Salón de clases,,
Gakeon,Noun,"Clase (escuela), aula",,
Galatalkeon,Noun,Cubeta,,
Galateon,Noun,"Cubo, balde",,
Galstukeon,Noun,Corbata,,
Gansoreon,Noun,Hígado,,
Gansorideon,Adjective,Hepático,,
Gaomaon,Noun,Apóstol,,
Gaomideon,Adjective,Apostólico,,
Garbirin,Adverb,De reojo,,
Garbiririan,Verb,Ver de reojo,,
Gardenemaon,Noun,Jardinero,,
Gardeneon,Noun,Jardín,,
Gardeningeon,Noun,Jardinería,,
Gardenirian,Verb,Jardinear,,
Gareon,Noun,"Velocidad, rapidez, prisa",,
Garideon,Adjective,"Rápido, veloz",,
Garin,Adverb,"Rápidamente, velozmente, de prisa",,
Garingeon,Noun,Aceleración,,
Garirian,Verb,"Dar prisa, apurar, acelerar",,
Garlukin,Adverb,De reojo,,
Garlukirian,Verb,Mirar de reojo,,
Garshilikeon,Noun,Mantarraya,,
Gasasnirian,Verb,Gasificar,,
Gasatideon,Adjective,Gaseoso,,
Gaseon,Noun,Gas,,
Gasgagumemeon,Noun,Gigante gaseoso,,
Gebaireon,Noun,Asta,,
Gebairupeon,Noun,Cornamenta,,
Gechlektaenutirian,Verb,Sexualizar,,
Gechlekteon,Noun,Sexo,,
Gechlektunekkelogeon,Noun,Sexismo,,
Gechlektunekkkelogideon,Adjective,Sexista,,
Gedesageon,Noun,Intestino grueso,,
Gedesalkeon,Noun,Intestino delgado,,
Gedeseon,Noun,Intestino,,
Gedesideon,Adjective,Intestinal,,
Gedesupeon,Noun,"Tripas, intestinos",,
Geldatseon,Noun,Aserradero,,
Geldemeon,Noun,"Serrín, aserrín",,
Geldirian,Verb,"Aserrar, serrar",,
Geldofeon,Noun,"Sierra, serrucho",,
Geldugarshilikeon,Noun,Pez sierra,,
Geleon,Noun,Helada,,
Gelideon,Adjective,"Gélido, helado",,
Gelingeon,Noun,Congelamiento,,
Gelirian,Verb,"Congelar, helar",,
Gelofeon,Noun,Congelador,,
Gendirian,Verb,Agacharse,,
Gendobirian,Verb,Agacharse,,
Geneteon,Noun,Conexión,,
Genetirian,Verb,Conectar,,
Genetofeon,Noun,Conector,,
Genitaleon,Noun,Genital,,
Genkasneon,Noun,Provocación,,
Genkasnideon,Adjective,"Provocativo, provocador",,
Genkasnirian,Verb,Provocar,,
Genkeon,Noun,Estado de ánimo,,
Genkfaumeon,Noun,"Modo de estar, estado",,
Genkirian,Verb,"Estar, sentirse (ánimo, bien, mal etc,)",,
Genshoreon,Noun,Fenómeno,,
Gensuntlaboremaon,Noun,Profesional de la salud,,
Gerateon,Noun,Aparato,,
Geratupeon,Noun,Hardware,,
Gesuntasnideon,Adjective,Curador,,
Gesuntasnirian,Verb,Curar,,
Gesuntasnofeon,Noun,"Medicamento, medicina",,
Gesuntasnubashatseon,Noun,Baño medicinal,Lugar de agua que te sana,"Gesunt,bash"
Gesunteon,Noun,"Salud, sanidad",,
Gesunternemaon,Noun,Médico,,
Gesunterneon,Noun,Medicina,,
Gesunternideon,Adjective,Médico,,
Gesuntideon,Adjective,"Sano, saludable",,
Gesuntirian,Verb,Curar,,
Giakorlateon,Noun,Ejercicio,,
Giakorlatirian,Verb,Ejercitar,,
Gineon,Noun,Guinea,,
Giniopaon,Noun,Guineano,,
Gipaseon,Noun,Nacimiento,,
Gipasideon,Adjective,"Nativo, natal",,
Gipasingemideon,Adjective,Naciente,,
Gipasirian,Verb,Nacer,,
Gipeon,Noun,Parto,,
Gipirian,Verb,"Parir, dar a luz",,
Gipoteseon,Noun,Hipótesis,,
Gipotesideon,Adjective,Hipotético,,
Gipotesirian,Verb,Formular una hipótesis,,
Gipupeon,Noun,Prole,,
Glah,Preposition,En comparación con,,
Glahadideon,Adjective,Comparable,,
Glaheon,Noun,Comparación,,
Glahirian,Verb,"Comparar, cotejar",,
Glahofeon,Noun,Comparador,,
Glasageon,Noun,Vitral,,
Glaseon,Noun,Vidrio,,
Glukeon,Noun,Suerte,,
Glukirian,Verb,Tener suerte,,
Godaon,Noun,Dios,,
Goddiyeon,Noun,Domingo,,
Godideon,Adjective,Divino,,
Golodageon,Noun,Hambruna,,
Golodeon,Noun,Hambre,,
Golodideon,Adjective,Hambriento,,
Golodirian,Verb,Tener hambre,,
Gonadideon,Adjective,Transitable,,
Gonatseon,Noun,"Camino, Vía",,
Goneon,Noun,Ida,,
Gonirian,Verb,"Ir, andar (no a pie)",,
Goshbruneon,Noun,Fuente (de agua),,
Grabeon,Noun,Verde,,
Grabideon,Adjective,Verde,,
Gramaremeon,Noun,Gramático,,
Gramareon,Noun,Gramática,,
Gramarideon,Adjective,"Gramatical, gramático",,
Grameon,Noun,Gramo,,
Granadeon,Noun,Granada,,
Granadiopaon,Noun,"Granadino, granadés, ganadí, garantí, iliberitano",,
Grapemaon,Noun,Bromista,,
Grapeon,Noun,Broma,,
Grapirian,Verb,Bromear,,
Grapudiyeon,Noun,Día de los inocentes,,
Grapunameon,Noun,Apodo,,
Grasagadosideon,Noun,Lípido,,Gras
Grasagadosideon,Adjective,Lipid,Formed by fat,Gras
Grasideon,Adjective,Graso,,Gras
Grasumideon,Adjective,Graso,Con mucha o demasiada grasa,Gras
Grayeon,Noun,"Gris, plomo",,
Grayideon,Adjective,"Gris, plomo",,
Greiseon,Noun,Gracia,,
Greisideon,Adjective,Agraciado,,
Greisideon,Adjective,Gracioso,,
Greisin,Noun,Con gracia,,
Grelagatseon,Noun,Campo de batalla,,
Grelageon,Noun,Batalla,,
Grelagubarkeon,Noun,Acorazado,,
Grelemaon,Noun,"Luchador, combatiente",,
Greleon,Noun,"Combate, pelea, lucha",,
Grelirian,Verb,"Luchar, combatir, pelear",,
Greliulideon,Adjective,Peleador,,
Grelofeon,Noun,Arma,,
Grelumirian,Verb,Batallar,,
Grideon,Noun,Grito,,
Gridirian,Verb,Gritar,,
Gridoserneon,Noun,Clamor,,
Gridosernirian,Verb,Clamar,,
Gridutirian,Verb,"Vociferar, estridular",,
Grifeon,Noun,"Lástima, pena",,
Griferbirian,Verb,Valer la pena,,
Grifin,Verb,"Penosamente, lastimosamente, lamentablemente, ser una lástima",,
Grifirian,Verb,Lamentar,,
Grondeon,Noun,Suelo,,
Grondusaltubunribeon,Noun,Salinidad del Suelo,,
Grupeon,Noun,Grupo,,
Grupideon,Adjective,Grupal,,
Grupingeon,Noun,Agrupación,,
Grupirian,Verb,Agrupar,,
Guatemaleon,Noun,Guatemala,,
Guatemaliopaon,Noun,Guatemalteco,,
Gupaon,Noun,Bebé,,
Guramashemaon,Noun,Organizador,,
Guramasheon,Noun,Organización,,
Guramashirian,Verb,Organizar,,
Gurmatseon,Noun,Garaje,,Gurm
Gurmemaon,Noun,Conductor,,"Gurm,em"
Gurmenterpriseon,Noun,Automotora,,"Gurm,enterpris"
Gurmeon,Noun,"Auto, automóvil, coche, carro",,Gurm
Gurmestradeon,Noun,Carretera,,"Gurm,estrad"
Gurmibas-haltatseon,Noun,Parada de autobús,,"Gurm,bas,halt"
Gurmibaseon,Noun,Autobús,,"Gurm,bas"
Gurmideon,Adjective,Automovilístico,,Gurm
Gurmimakustiboyeon,Noun,Autopista,,"Gurm,makust,boy"
Gurmimakustiboyuserbisatseon,Noun,Área de Servicio de la Autopista,,"Gurm,makust,boy,serbis"
Gurmirian,Verb,Ir en auto,,Gurm
Gurmuratseon,Noun,Automotora,,"Gurm,ur"
Gusteon,Noun,Sabor,,
Gustirian,Verb,Saber (sabor),,
Guyaniopaon,Noun,Guyanés,,
Guyaon,Noun,"Tipo (sujeto), chico",,
Habadideon,Adjective,Disponible,,
Habasnirian,Verb,"Proporcionar, suministrar, proveer",,
Habeon,Noun,"Posesión, propiedad",,
Habirian,Verb,"Tener, poseer",,
Hadabacheon,Noun,"Crianza, cría",,
Hadabachirian,Verb,"Criar, cultivar",,
Hadakeon,Noun,"Desnudez, desnudo",,
Hadakfoteon,Noun,"Desnudo, Nude (coloquial)",,
Hadakideon,Adjective,Desnudo,,
Hadakirian,Noun,Desnudar,,
Hadakogambreon,Noun,"Nudista, naturista",,
Hadakogeon,Noun,"Nudismo, naturismo",,
Hadakogideon,Adjective,"Nudista, naturista",,
Hahalkeon,Noun,Sonrisa,,
Hahalkirian,Verb,Sonreír,,
Hahasnideon,Adjective,"Chistoso, divertido, gracioso",,
Haheon,Noun,Risa,,
Haherbeon,Noun,Rídiculo,,
Haherbideon,Adjective,Ridículo,,
Haherbirian,Verb,Ridiculizar,,
Hahirian,Verb,Reír,,
Haitiyeon,Noun,Haití,,
Haitiyiopaon,Noun,Haitiano,,
Haitiyukreoliomeon,Noun,Creolé Haitiano,,
Haiyanageon,Noun,Superocéano,,
Haiyaneon,Noun,Océano,,
Haiyanestreleon,Noun,Estrella de Mar,,
Haiyanideon,Adjective,Oceánico,,
Halbontesadeon,Noun,"Alameda, Boulevard",,
Half,Preposition,"En medio de, a mitad de",,
Halfdiyeon,Noun,Mediodía,,
Halfdiyunamneon,Noun,Almuerzo,,
Halfdiyunamnirian,Verb,Almorzar,,
Halfensenatseon,Noun,"Escuela secundaria, escuela media, secundaria",,
Halfeon,Noun,"Mitad, medio",,
Halfideon,Adjective,"Medio, mediano",,
Halsakeon,Noun,Red,,
Haltalkeon,Noun,Suspensión (parar un poco),,
Haltalkirian,Verb,Suspender (parar un poco),,
Haltatseon,Noun,"Parada, paradero",,
Haltirian,Verb,"Parar, detener",,
Hamaikeon,Noun,Jamaica,,
Hamaikiopaon,Noun,Jamaicano,,
Hameon,Noun,Jamón,,
Haneon,Noun,Mano,,
Hanideon,Verb,Manual,,
Hanin,Adverb,"A mano, manualmente",,
Hansakiesemeon,Noun,Artesanía,,
Hansakiesideon,Adverb,Hecho a mano,,
Hanucheon,Noun,"Manotazo, bofetada, cachetada",,
Haoyeon,Noun,Polilla,,
Hapeon,Noun,"Felicidad, alegría",,
Hapeteon,Noun,Ácido,,
Hapetideon,Adjective,Ácido,,
Hapideon,Adjective,"Feliz, alegre",,
Hapin,Adverb,"Alegremente, felizmente",,
Hapumeon,Noun,Dicha,,
Hapumofirian,Verb,"Retozar, juguetear",,
Hapumofiulideon,Adjective,Juguetón,,
Hardeon,Noun,Dureza,,
Hardideon,Adjective,Duro,,
Hardirian,Verb,Endurecer,,
Hardudiskeon,Noun,Disco duro,,
Harenatseon,Noun,"Arenal, bajío",,
Hareneon,Noun,Arena,,
Harenideon,Adjective,Arenoso,,
Hareon,Noun,Pelo,,
Harideon,Adjective,Peludo,,
Hartachaeneman,Noun,Porrista,,
Hartachaenirian,Verb,"Alentar, animar",,
Hartacheon,Noun,"Valentía, valor, coraje",,
Hartachideon,Adjective,Valiente,,
Hartachirian,Verb,Atreverse,,
Harteon,Noun,Corazón,,
Hartideon,Adjective,Cardíaco,,
Hartunabiseon,Noun,Pulso cardíaco,,
Harupeon,Noun,Cabello,,
Hashalkeon,Noun,Pasarela,,
Hasheon,Noun,Puente,,
Hatureon,Noun,"Rigor, rigurosidad",,
Haturideon,Adjective,Riguroso,,
Hayeon,Noun,Pulmón,,
Hayideon,Adjective,Pulmonar,,
Hayikirian,Verb,Tocar,,
Helafeon,Noun,Adverbio,,
Helafideon,Adjective,Adverbial,,
Helheon,Noun,Hebra,,
Helpemeon,Noun,Ayudante,,
Helpeon,Noun,"Ayuda, auxilio",,
Helpideon,Adjective,"Accesorio, auxiliar",,
Helpirian,Verb,"Ayudar, auxiliar, asistir",,
Helpiulideon,Adjective,Servicial,,
Helplingeon,Noun,Lengua auxiliar,,
Henreon,Noun,Género,,
Hensatseon,Noun,Escondite,,
Hensideon,Adjective,"Oculto, clandestino",,
Hensin,Adverb,A escondidas,,
Hensirian,Verb,"Esconder, ocultar",,
Heraon,Noun,"Héroe, heroina",,
Heremeon,Noun,"Hazaña, heroicidad",,
Herideon,Adjective,Heroico,,
Heteon,Noun,Odio,,
Heterbideon,Adjective,"Aborrecible, odioso",,
Hetin,Adverb,Con odio,,
Hetirian,Verb,Odiar,,
Hetumeon,Noun,Aversión,,
Hetumirian,Verb,Aborrecer,,
Hialeon,Noun,Fantasía,,
Hialideon,Adjective,Fantástico,,
Hileon,Noun,"Cerro, colina",,
Himeleon,Noun,Cielo,,
Himelideon,Adjective,Celeste,,
Himelmansestradeon,Noun,"Pasadizo elevado, pasarela",,
Hindeon,Noun,India,,
Hindiopaon,Noun,Indio,,
Hindiyiomeon,Noun,Hindi,,
Hinsdurmeon,Noun,Hibernación,,
Hinsdurmirian,Verb,Hibernar,,
Hinseon,Noun,Invierno,,
Hinshitseon,Noun,Calidad,,
Hinshitsideon,Adjective,De calidad,,
Hinsideon,Adjective,Invernal,,
Hisoreon,Noun,Bazo,,
Hisorideon,Adjective,Esplénico,,
Hispanamerikeon,Noun,Hispanoamérica,,
Hispanamerikideon,Adjective,Hispanoamericano,,
Hispanamerikiopideon,Adjective,Hispanoamericano (origen),,
Hispaneon,Noun,España,,
Hispanideon,Adjective,Español,,
Hispaniomeon,Noun,Español (idioma),,
Hispaniomin,Adverb,En español,,
Hispaniopideon,Noun,Español (origen),,
Historemaon,Noun,Historiador,,
Historeon,Noun,Historia,,
Historideon,Adjective,Histórico,,
Historin,Adverb,Históricamente,,
Hitelbipeon,Noun,Tarjeta de Crédito,,
Hiteleon,Noun,Crédito,,
Hitelideon,Adjective,Crediticio,,
Hitelpetirian,Verb,Pedir un crédito,,
Hitirian,Verb,Dar (con bala),,
Hitofeon,Noun,Arma de fuego,,
Hlidatemaon,Noun,Guardia,,
Hlidatirian,Verb,"Resguardar, custodiar",,
Hocheon,Noun,"Altura, altitud",,
Hochideon,Adjective,Alto,,
Hochotreon,Noun,Altímetro,,
Hochumideon,Adjective,Altísimo,,
Hokoreon,Noun,Orgullo,,
Hokorideon,Adjective,Orgulloso,,
Hokureon,Noun,Lunar,,
Holukasnirian,Noun,"Orientar, girar hacia",,
Holukeon,Noun,Orientación,,
Holukirian,Verb,Mirar (en una dirección),,
Hondureon,Noun,Honduras,,
Honduriopaon,Noun,Hondureño,,
Honyakadideon,Adjective,Traducible,,
Honyakemeon,Noun,Traductor,,
Honyakeon,Noun,Traducción,,
Honyakirian,Verb,Traducir,,
Honyakofeon,Noun,Traductor,,
Hopadideon,Adjective,Esperable (poder tener esperanza),,
Hopaenideon,Adjective,Esperanzador (que da esperanzas),,
Hopeon,Noun,Esperanza,,
Hopirian,Verb,Esperar (tener esperanza),,
Horaratofeon,Noun,Reloj,,
Hordaniyeon,Noun,Jordania,,
Hordaniyiopaon,Noun,Jordano,,
Horeon,Noun,Hora,,
Horideon,Adjective,Horario,,
Horin,Adverb,Por hora,,
Horneon,Noun,Cuerno,,
Hornuhabidu,Adjective,Cornudo,,
Hornupeon,Noun,Cornamenta,,
Horupeon,Noun,Horario,,
Hosonatseon,Noun,Almacenamiento,,
Hosoneon,Noun,Guardado,,
Hosonirian,Verb,"Guardar, almacenar",,
